metric,value
agreements_total,551.0
agreements_with_trq,270.0
fraction_agreements_with_trq,0.4900181488203267
total_trade_value,2071971617345571.8
total_trq_value,2891099936.8397574
percent_trade_value_trq,1.3953376159387651e-06
products_total_tl6,9286.0
products_trq_tl6,7738.0
percent_products_trq,0.8332974370019384
