metric,value
agreements_total,433.0
agreements_with_trq,272.0
fraction_agreements_with_trq,0.628175519630485
total_trade_value,2071888165096888.8
total_trq_value,2876844936.4123335
percent_trade_value_trq,1.3885136200282327e-06
products_total_tl6,8880.0
products_trq_tl6,7737.0
percent_products_trq,0.8712837837837838
