year,lost_to,gained_by,count
2024,BLACK P STONES,CONSERVATIVE VICE LORDS,3
2024,BLACK P STONES,FOUR CORNER HUSTLERS,3
2024,BLACK P STONES,GANGSTER DISCIPLES,16
2024,BLACK P STONES,LA RAZA,3
2024,BLACK P STONES,LATIN DRAGONS,1
2024,BLACK P STONES,LATIN KINGS,4
2024,BLACK P STONES,MICKEY COBRAS,3
2024,BLACK P STONES,UNKNOWN VICE LORDS,4
2024,BLACK P STONES,multiple_gangs,65
2024,BLACK SOULS,FOUR CORNER HUSTLERS,1
2024,BLACK SOULS,GANGSTER DISCIPLES,1
2024,BLACK SOULS,multiple_gangs,4
2024,C-NOTES,multiple_gangs,2
2024,CICERO INSANE VICE LORDS,multiple_gangs,1
2024,CONSERVATIVE VICE LORDS,BLACK P STONES,1
2024,CONSERVATIVE VICE LORDS,FOUR CORNER HUSTLERS,6
2024,CONSERVATIVE VICE LORDS,GANGSTER DISCIPLES,4
2024,CONSERVATIVE VICE LORDS,NEW BREED,2
2024,CONSERVATIVE VICE LORDS,SPANISH COBRAS,1
2024,CONSERVATIVE VICE LORDS,TRAVELING VICE LORDS,3
2024,CONSERVATIVE VICE LORDS,UNKNOWN VICE LORDS,1
2024,CONSERVATIVE VICE LORDS,multiple_gangs,19
2024,FOUR CORNER HUSTLERS,BLACK DISCIPLES,3
2024,FOUR CORNER HUSTLERS,BLACK P STONES,3
2024,FOUR CORNER HUSTLERS,CONSERVATIVE VICE LORDS,1
2024,FOUR CORNER HUSTLERS,GANGSTER DISCIPLES,3
2024,FOUR CORNER HUSTLERS,MAFIA INSANE VICE LORDS,5
2024,FOUR CORNER HUSTLERS,MANIAC LATIN DISCIPLES,1
2024,FOUR CORNER HUSTLERS,NEW BREED,1
2024,FOUR CORNER HUSTLERS,UNKNOWN VICE LORDS,3
2024,FOUR CORNER HUSTLERS,multiple_gangs,59
2024,GANGSTER DISCIPLES,AMBROSE,1
2024,GANGSTER DISCIPLES,BLACK DISCIPLES,22
2024,GANGSTER DISCIPLES,BLACK P STONES,21
2024,GANGSTER DISCIPLES,BLACK SOULS,3
2024,GANGSTER DISCIPLES,CONSERVATIVE VICE LORDS,2
2024,GANGSTER DISCIPLES,LA RAZA,2
2024,GANGSTER DISCIPLES,LATIN KINGS,3
2024,GANGSTER DISCIPLES,MAFIA INSANE VICE LORDS,2
2024,GANGSTER DISCIPLES,MICKEY COBRAS,1
2024,GANGSTER DISCIPLES,NEW BREED,2
2024,GANGSTER DISCIPLES,SATAN DISCIPLES,4
2024,GANGSTER DISCIPLES,TRAVELING VICE LORDS,1
2024,GANGSTER DISCIPLES,TWO SIX,8
2024,GANGSTER DISCIPLES,UNDERTAKER VICE LORDS,2
2024,GANGSTER DISCIPLES,multiple_gangs,226
2024,HARRISON GENTS,multiple_gangs,1
2024,IMPERIAL GANGSTERS,MANIAC LATIN DISCIPLES,1
2024,IMPERIAL GANGSTERS,MILWAUKEE KINGS,1
2024,IMPERIAL GANGSTERS,multiple_gangs,5
2024,INSANE DRAGONS,multiple_gangs,3
2024,INSANE UNKNOWNS,LATIN KINGS,2
2024,INSANE UNKNOWNS,MANIAC LATIN DISCIPLES,1
2024,INSANE UNKNOWNS,multiple_gangs,2
2024,KRAZY GETDOWN BOYS,multiple_gangs,1
2024,LA FAMILIA STONES,multiple_gangs,1
2024,LA RAZA,LATIN COUNTS,1
2024,LA RAZA,LATIN SAINTS,1
2024,LA RAZA,NEW BREED,1
2024,LA RAZA,multiple_gangs,3
2024,LATIN BROTHERS ORGANIZATION,SPANISH FOUR CORNER HUSTLERS,1
2024,LATIN BROTHERS ORGANIZATION,multiple_gangs,2
2024,LATIN COUNTS,GANGSTER DISCIPLES,4
2024,LATIN COUNTS,multiple_gangs,8
2024,LATIN DRAGONS,BLACK P STONES,1
2024,LATIN DRAGONS,CONSERVATIVE VICE LORDS,1
2024,LATIN DRAGONS,LATIN KINGS,1
2024,LATIN DRAGONS,multiple_gangs,43
2024,LATIN KINGS,BLACK P STONES,3
2024,LATIN KINGS,CONSERVATIVE VICE LORDS,54
2024,LATIN KINGS,GANGSTER DISCIPLES,1
2024,LATIN KINGS,IMPERIAL GANGSTERS,2
2024,LATIN KINGS,INSANE UNKNOWNS,2
2024,LATIN KINGS,MANIAC LATIN DISCIPLES,2
2024,LATIN KINGS,TRAVELING VICE LORDS,1
2024,LATIN KINGS,multiple_gangs,98
2024,LATIN SAINTS,multiple_gangs,2
2024,LATIN STYLERS,multiple_gangs,1
2024,MAFIA INSANE VICE LORDS,BLACK P STONES,1
2024,MAFIA INSANE VICE LORDS,CICERO INSANE VICE LORDS,1
2024,MAFIA INSANE VICE LORDS,CONSERVATIVE VICE LORDS,3
2024,MAFIA INSANE VICE LORDS,FOUR CORNER HUSTLERS,1
2024,MAFIA INSANE VICE LORDS,multiple_gangs,6
2024,MANIAC LATIN DISCIPLES,LA FAMILIA STONES,3
2024,MANIAC LATIN DISCIPLES,SPANISH COBRAS,1
2024,MANIAC LATIN DISCIPLES,YOUNG LATIN ORGANIZATION COBRAS,1
2024,MANIAC LATIN DISCIPLES,multiple_gangs,8
2024,MICKEY COBRAS,BLACK P STONES,3
2024,MICKEY COBRAS,GANGSTER DISCIPLES,1
2024,MICKEY COBRAS,MAFIA INSANE VICE LORDS,1
2024,MICKEY COBRAS,multiple_gangs,43
2024,MILWAUKEE KINGS,multiple_gangs,2
2024,NEW BREED,BLACK SOULS,2
2024,NEW BREED,CONSERVATIVE VICE LORDS,1
2024,NEW BREED,GANGSTER DISCIPLES,7
2024,NEW BREED,TRAVELING VICE LORDS,2
2024,NEW BREED,multiple_gangs,17
2024,ORCHESTRA ALBANY,SPANISH COBRAS,1
2024,ORCHESTRA ALBANY,multiple_gangs,1
2024,PACHUCOS,IMPERIAL GANGSTERS,1
2024,PACHUCOS,SPANISH FOUR CORNER HUSTLERS,2
2024,PACHUCOS,multiple_gangs,3
2024,SATAN DISCIPLES,GANGSTER DISCIPLES,11
2024,SATAN DISCIPLES,INSANE DEUCES,1
2024,SATAN DISCIPLES,LATIN KINGS,7
2024,SATAN DISCIPLES,TRAVELING VICE LORDS,1
2024,SATAN DISCIPLES,TWO SIX,1
2024,SATAN DISCIPLES,TWO-TWO BOYS,1
2024,SATAN DISCIPLES,multiple_gangs,39
2024,SPANISH COBRAS,LATIN EAGLES,1
2024,SPANISH COBRAS,LATIN STYLERS,1
2024,SPANISH COBRAS,MANIAC LATIN DISCIPLES,1
2024,SPANISH COBRAS,PACHUCOS,1
2024,SPANISH COBRAS,multiple_gangs,7
2024,SPANISH FOUR CORNER HUSTLERS,multiple_gangs,5
2024,SPANISH GANGSTER DISCIPLES,CONSERVATIVE VICE LORDS,1
2024,SPANISH GANGSTER DISCIPLES,SPANISH COBRAS,1
2024,SPANISH GANGSTER DISCIPLES,multiple_gangs,3
2024,SPANISH VICE LORDS,LATIN KINGS,3
2024,SPANISH VICE LORDS,multiple_gangs,3
2024,TRAVELING VICE LORDS,BLACK DISCIPLES,1
2024,TRAVELING VICE LORDS,BLACK P STONES,1
2024,TRAVELING VICE LORDS,CONSERVATIVE VICE LORDS,7
2024,TRAVELING VICE LORDS,GANGSTER DISCIPLES,3
2024,TRAVELING VICE LORDS,NEW BREED,3
2024,TRAVELING VICE LORDS,UNKNOWN VICE LORDS,1
2024,TRAVELING VICE LORDS,multiple_gangs,21
2024,TWO SIX,multiple_gangs,6
2024,TWO-TWO BOYS,LATIN KINGS,1
2024,TWO-TWO BOYS,multiple_gangs,1
2024,UNDERTAKER VICE LORDS,GANGSTER DISCIPLES,1
2024,UNDERTAKER VICE LORDS,MAFIA INSANE VICE LORDS,1
2024,UNDERTAKER VICE LORDS,multiple_gangs,2
2024,UNKNOWN VICE LORDS,BLACK P STONES,1
2024,UNKNOWN VICE LORDS,FOUR CORNER HUSTLERS,10
2024,UNKNOWN VICE LORDS,MAFIA INSANE VICE LORDS,1
2024,UNKNOWN VICE LORDS,multiple_gangs,30
2024,VICE LORDS,GANGSTER DISCIPLES,2
2024,VICE LORDS,multiple_gangs,2
2024,YOUNG LATIN ORGANIZATION COBRAS,multiple_gangs,1
2024,multiple_gangs,AMBROSE,1
2024,multiple_gangs,BISHOPS,3
2024,multiple_gangs,BLACK DISCIPLES,16
2024,multiple_gangs,BLACK P STONES,19
2024,multiple_gangs,BLACK SOULS,2
2024,multiple_gangs,C-NOTES,2
2024,multiple_gangs,CICERO INSANE VICE LORDS,1
2024,multiple_gangs,CONSERVATIVE VICE LORDS,3
2024,multiple_gangs,FOUR CORNER HUSTLERS,37
2024,multiple_gangs,GANGSTER DISCIPLES,142
2024,multiple_gangs,HARRISON GENTS,1
2024,multiple_gangs,IMPERIAL GANGSTERS,4
2024,multiple_gangs,INSANE DRAGONS,2
2024,multiple_gangs,INSANE UNKNOWNS,1
2024,multiple_gangs,KRAZY GETDOWN BOYS,1
2024,multiple_gangs,LA FAMILIA STONES,1
2024,multiple_gangs,LATIN BROTHERS ORGANIZATION,1
2024,multiple_gangs,LATIN COUNTS,3
2024,multiple_gangs,LATIN DRAGONS,41
2024,multiple_gangs,LATIN KINGS,30
2024,multiple_gangs,LATIN SAINTS,2
2024,multiple_gangs,LATIN STYLERS,1
2024,multiple_gangs,MANIAC LATIN DISCIPLES,3
2024,multiple_gangs,MICKEY COBRAS,39
2024,multiple_gangs,MILWAUKEE KINGS,1
2024,multiple_gangs,NEW BREED,7
2024,multiple_gangs,SATAN DISCIPLES,12
2024,multiple_gangs,SPANISH COBRAS,4
2024,multiple_gangs,SPANISH FOUR CORNER HUSTLERS,5
2024,multiple_gangs,SPANISH GANGSTER DISCIPLES,1
2024,multiple_gangs,TRAVELING VICE LORDS,6
2024,multiple_gangs,TWO SIX,4
2024,multiple_gangs,UNKNOWN VICE LORDS,15
2024,multiple_gangs,YOUNG LATIN ORGANIZATION COBRAS,1
